[2020-03-14 08:26:51] [info]  [ 6840] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 08:26:52] [info]  [ 6840] Running 'Tomcat8' Service...
[2020-03-14 08:26:52] [info]  [ 3052] Starting service...
[2020-03-14 08:26:53] [info]  [ 3052] Service started in 1211 ms.
[2020-03-14 09:35:18] [info]  [ 9324] Stopping service...
[2020-03-14 09:35:19] [info]  [ 9324] Service stop thread completed.
[2020-03-14 09:35:19] [info]  [ 6840] Run service finished.
[2020-03-14 09:35:20] [info]  [ 6840] Commons Daemon procrun finished
[2020-03-14 09:35:20] [info]  [ 6088] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 09:35:20] [info]  [ 6088] Running 'Tomcat8' Service...
[2020-03-14 09:35:20] [info]  [ 8060] Starting service...
[2020-03-14 09:35:21] [info]  [ 8060] Service started in 1165 ms.
[2020-03-14 09:36:04] [info]  [ 5984] Stopping service...
[2020-03-14 09:36:05] [info]  [ 5984] Service stop thread completed.
[2020-03-14 09:36:05] [info]  [ 6088] Run service finished.
[2020-03-14 09:36:05] [info]  [ 6088] Commons Daemon procrun finished
[2020-03-14 09:36:05] [info]  [ 5324] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 09:36:05] [info]  [ 5324] Running 'Tomcat8' Service...
[2020-03-14 09:36:05] [info]  [ 9688] Starting service...
[2020-03-14 09:36:07] [info]  [ 9688] Service started in 1165 ms.
[2020-03-14 09:45:19] [info]  [10236] Stopping service...
[2020-03-14 09:45:20] [info]  [10236] Service stop thread completed.
[2020-03-14 09:45:20] [info]  [ 5324] Run service finished.
[2020-03-14 09:45:20] [info]  [ 5324] Commons Daemon procrun finished
[2020-03-14 09:45:20] [info]  [ 1056] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 09:45:20] [info]  [ 1056] Running 'Tomcat8' Service...
[2020-03-14 09:45:20] [info]  [ 8644] Starting service...
[2020-03-14 09:45:22] [info]  [ 8644] Service started in 1166 ms.
[2020-03-14 09:46:00] [info]  [ 7992] Stopping service...
[2020-03-14 09:46:02] [info]  [ 7992] Service stop thread completed.
[2020-03-14 09:46:02] [info]  [ 1056] Run service finished.
[2020-03-14 09:46:02] [info]  [ 1056] Commons Daemon procrun finished
[2020-03-14 09:46:02] [info]  [ 7848] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 09:46:02] [info]  [ 7848] Running 'Tomcat8' Service...
[2020-03-14 09:46:02] [info]  [ 6604] Starting service...
[2020-03-14 09:46:04] [info]  [ 6604] Service started in 1173 ms.
[2020-03-14 09:46:13] [info]  [ 3936] Stopping service...
[2020-03-14 09:46:14] [info]  [ 3936] Service stop thread completed.
[2020-03-14 09:46:15] [info]  [ 7848] Run service finished.
[2020-03-14 09:46:15] [info]  [ 7848] Commons Daemon procrun finished
[2020-03-14 09:46:15] [info]  [ 6240] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 09:46:16] [info]  [ 6240] Running 'Tomcat8' Service...
[2020-03-14 09:46:16] [info]  [ 9448] Starting service...
[2020-03-14 09:46:17] [info]  [ 9448] Service started in 1162 ms.
[2020-03-14 09:47:49] [info]  [ 1824] Stopping service...
[2020-03-14 09:47:50] [info]  [ 1824] Service stop thread completed.
[2020-03-14 09:47:50] [info]  [ 6240] Run service finished.
[2020-03-14 09:47:50] [info]  [ 6240] Commons Daemon procrun finished
[2020-03-14 09:47:51] [info]  [ 9228] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 09:47:51] [info]  [ 9228] Running 'Tomcat8' Service...
[2020-03-14 09:47:51] [info]  [ 3916] Starting service...
[2020-03-14 09:47:52] [info]  [ 3916] Service started in 1172 ms.
[2020-03-14 09:48:46] [info]  [ 1816] Stopping service...
[2020-03-14 09:48:47] [info]  [ 1816] Service stop thread completed.
[2020-03-14 09:48:47] [info]  [ 9228] Run service finished.
[2020-03-14 09:48:47] [info]  [ 9228] Commons Daemon procrun finished
[2020-03-14 09:48:47] [info]  [ 9580] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 09:48:47] [info]  [ 9580] Running 'Tomcat8' Service...
[2020-03-14 09:48:48] [info]  [ 9992] Starting service...
[2020-03-14 09:48:49] [info]  [ 9992] Service started in 1185 ms.
[2020-03-14 10:16:27] [info]  [ 9540] Stopping service...
[2020-03-14 10:16:28] [info]  [ 9540] Service stop thread completed.
[2020-03-14 10:16:29] [info]  [ 9580] Run service finished.
[2020-03-14 10:16:29] [info]  [ 9580] Commons Daemon procrun finished
[2020-03-14 10:16:29] [info]  [ 5072] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:16:29] [info]  [ 5072] Running 'Tomcat8' Service...
[2020-03-14 10:16:29] [info]  [ 3916] Starting service...
[2020-03-14 10:16:30] [info]  [ 3916] Service started in 1171 ms.
[2020-03-14 10:18:23] [info]  [ 4392] Stopping service...
[2020-03-14 10:18:24] [info]  [ 4392] Service stop thread completed.
[2020-03-14 10:18:25] [info]  [ 5072] Run service finished.
[2020-03-14 10:18:25] [info]  [ 5072] Commons Daemon procrun finished
[2020-03-14 10:18:25] [info]  [  556] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:18:25] [info]  [  556] Running 'Tomcat8' Service...
[2020-03-14 10:18:25] [info]  [ 7512] Starting service...
[2020-03-14 10:18:26] [info]  [ 7512] Service started in 1182 ms.
[2020-03-14 10:20:42] [info]  [ 7560] Stopping service...
[2020-03-14 10:20:43] [info]  [ 7560] Service stop thread completed.
[2020-03-14 10:20:43] [info]  [  556] Run service finished.
[2020-03-14 10:20:43] [info]  [  556] Commons Daemon procrun finished
[2020-03-14 10:20:44] [info]  [ 9476] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:20:44] [info]  [ 9476] Running 'Tomcat8' Service...
[2020-03-14 10:20:44] [info]  [ 9412] Starting service...
[2020-03-14 10:20:45] [info]  [ 9412] Service started in 1198 ms.
[2020-03-14 10:21:08] [info]  [ 8916] Stopping service...
[2020-03-14 10:21:09] [info]  [ 8916] Service stop thread completed.
[2020-03-14 10:21:09] [info]  [ 9476] Run service finished.
[2020-03-14 10:21:09] [info]  [ 9476] Commons Daemon procrun finished
[2020-03-14 10:21:09] [info]  [ 6820] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:21:09] [info]  [ 6820] Running 'Tomcat8' Service...
[2020-03-14 10:21:09] [info]  [  124] Starting service...
[2020-03-14 10:21:11] [info]  [  124] Service started in 1198 ms.
[2020-03-14 10:22:16] [info]  [  936] Stopping service...
[2020-03-14 10:22:17] [info]  [  936] Service stop thread completed.
[2020-03-14 10:22:18] [info]  [ 6820] Run service finished.
[2020-03-14 10:22:18] [info]  [ 6820] Commons Daemon procrun finished
[2020-03-14 10:22:18] [info]  [ 6772] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:22:18] [info]  [ 6772] Running 'Tomcat8' Service...
